What kind of place would you like Casey to be in 2041?,If you had the power to change just one thing in the City of Casey what would it be?,What three words would you use to describe your Vision for the City of Casey?,,,What's most important to you?,Other,What is your suburb?,Postcode,Ward,What is your age?,What is your Gender
family orientated & safe,reducing rates & costs,,,,,,tooradin,3980,balla balla ,29-38,female
prosperous,review council,prosperous,safe,,,,warneet,3980,balla balla ,68+,male
youth friendly accessable to costal area good walking tracks,youth centre at tooradin or blind bight,multicultural,inclusive,,,,tooradin,3980,balla balla ,39-48,female
like it was in 1970 LGBT friendly,sack the council,,,,,,blind bight,3980,balla balla,59-68,male
I would like it to stay the same,more kindergartens,safe,less-growth,infrastructure,,,blind bight,3980,balla balla,29-38,female
family feel/orientated,natural gas in tooradin,family-oriented,opportunties,culture,,,tooradin,3980,balla balla ,39-48,female
caring for areas within their boundaries and making it safe for families,have casey show more interest in coastal villages we are a forgotten villages,parks,accessible,safety,,,blind bight,3980,balla balla,68+,female
peaceful and happy accepting and diverse,more trees in newly developed suburbs,multicultural,parks,safe,,,blind bight,3980,balla balla,59-68,female
full of trees peaceful,transport to the villages,multicultural,peaceful,accessible,,,warneet,3980,balla balla ,39-48,female
multicultural acceptance,supply of natural gas - blind bight,multicultural,harmonious,accepting,,,blind bight,3980,balla balla,68+,female
more parks & playgrounds,consideration to main roads around housing estates,,,,,,blind bight,3980,balla balla,68+,female
fun amazing free,more hot dogs ,,,,,,blind bight,3980,balla balla,0-18,female
horrible,snags ,,,,,,adelaide,,visitor,59-68,female
"safe, affordable services and family oriented environment",build better transport with the state govt or private sector,safe,innovative,business,,,unknown,,unknown,39-48,
 - inclusive - multicultural - more specific services targetted to the disadvantaged,more racism prevention & education,bright,inclusive,happy,,,berwick,3806,edrington,19-28,female
may niot be living here by then,better law enforcement more police,infrastructure,reduced-rates,less-population,,,narre warren south,3804,springfield,49-58,female
a place with better infrastructure where buses care operated more frequently and public transport is easily accessible,"better public transport, better public facilities and more subsidies for childcare, kindergarten & education",,,,,,berwick,3806,edrington,39-48,female
looking at community needs,help homeless & DV victims,family-oriented,social,roads,,,narre warren,3805,springfield,49-58,female
healthy community minded,people who listen,less-dense,infrastructure,elderly,,,cranbourne ,3977,balla balla,59-68,female
no volence or crime,more home for homeless,safe,entertainment,youth,,,cranbourne east,3977,mayfield,59-68,female
not very nice violence homelessness,homlessness,,,,,,cranbourne ,3977,balla balla,68+,female
peaceful,less violence,safe,,,,,cranbourne north,,Springfield,29-38,female
"safe, fresh enviornment, no violence",homelessness,safe,,,,,cranbourne east,3977,mayfield,39-48,female
lively and liveable without expenses,end hunger,alive,clean,afforadable,,,cranbourne ,3977,balla balla,39-48,female
safe,2 rubbish collection a year instead of haivng rubbish in street,,,,,,cranbourne north,,Springfield,68+,female
safe,,,,,,,unknown,,unknown,,
"inclusive, friendly & safe place to live clean",1/ less graffeti 2/ hard rubbish twice a year,safe,clean,afforadable,,,cranbourne north,,Springfield,49-58,female
having a big play area,traffic congestion,family-oriented,fun,activities,,,cranbourne east,3977,mayfield,29-38,male
I would like it to be fun colourful place and friendly culture,crime rate,sustainable,friendly,colourful,,,clyde north,,edrington,0-18,
clean safe liveable,overpasses on all major roads - no round abouts,green,country,safe,,,clyde north,,edrington,49-58,female
"school, ???? Big shopping centre",train station ??????,entertainment,,,,,clyde north,,edrington,29-38,male
quiet & peaceful,train station pls,growth,facilities,city,,,clyde north,,edrington,29-38,male
full with opportunity and peaceful,put new train station quickly,growth,facilities,,,,clyde north,,edrington,29-38,female
a safe environment,more car parking at railway station,great,,,,,narre warren south,3804,springfield,59-68,
"safe place to live, with activities for all age groups and transport to get there",better transport connections,active,innovative,,,,doveton ,3177,river gum,59-68,female
a leafy suburb safe for families,over population and keeping casey green,less-populated,cafes,,,,berwick,3806,edrington,49-58,male
"safe, friendly cheap rates, clean",free easy to use pubilc transport for all,easy-living,friendly ,clean,,,doveton ,3177,river gum,39-48,male
"inclusive, employment  hub with strong social justice principles",I would provide reliable frequent public transport,diverse ,justice,inclusive,,,berwick,3806,edrington,49-58,female
a safe place,traffic,progress ,less-populated,diverse,,,lynbrook,3975,river gum,49-58,female
a safe and happy place,crime,interesting ,exciting, unforgetful,,,doveton ,3177,river gum,59-68,female
alluring amazing,more facilities police bicycle parking toilets,superb ,potential ,progressive,,,doveton ,3177,river gum,59-68,female
a happy place,council rates (overboard),,,,,,berwick,3806,edrington,59-68,female
safe & inclusive,please reduce council rates & improve traffic conjestion on clyde road,safe,inclusive ,proactive,,,berwick,3806,edrington,39-48,female
"less traffic, more kids facility, less rent cost, more safety",doing more roads towards the city,more parks ,safe,jobs,,,berwick,3806,edrington,39-48,female
"a safe, inclusive community with great transport links",better transport options,safe ,community,gardens,,,berwick,3806,edrington,59-68,female
much safer than now less traffic on freeway & clyde road,lower the council rates,safe,safe,safe,,,berwick,3806,edrington,49-58,female
resilient accepting changes safer,,,,,,,berwick,3806,edrington,49-58,female
a lot safer/less crime traffic flow a lot easier,lower the council annual rates,parks,,,,,berwick,3806,edrington,49-58,female
a safe place for everyone. A place that offers schooling/opportunties & support service for our young,more accountability on spending to perhaps be able to support organisations that require assistance,environment,safe,accountable,,,hallam,3803,river gum,68+,female
the centre for all local people loved,the transport a lot of traffic here,peace ,beautiful,multicultural,,,berwick,3806,edrington,29-38,female
a place with more jobs to reduce the need to travel to find work,better police presence 24 hours,parks,friendly,caring,,,narre warren south,3804,springfield,68+,male
more things for teenagers and children to do,stop building town houses in hallam as it is spoiling hallam ,,,,,,doveton ,3177,river gum,68+,female
more connected with something for all,roads & transport,connected ,green,friendly,,,hallam,3803,river gum,59-68,female
to have more things to keep people entertained for all ages,stop building the town houses as it is spoiling hallam,helpful  ,entertainment,,,,hallam,3803,river gum,68+,female
"green, clean and peaceful",more policing,,,,,,narre warren,3805,springfield,39-48,
friendly,less high rise buildings,family-oriented,,,,,berwick,3806,edrington,68+ ,female
more variety in shoping centre,more things for the teenagers to do,variety,,,,,hallam,3803,river gum,59-68,female
better roads & public transport.  Fix hallam station,less units stop knocking down houses. Houses are for families not units,inclusive,aged-care,,,,hallam,3803,river gum,68+,female
a desireable place for families to live and thrive,to limit new units to 2 only to an ordinary house block,green,less-cars,public-transport,,,hallam,3803,river gum,68+,female
caring  ,shelters,public-transport,,,,,unknown,,unknown,,
"a kind, caring,place, where people can enjoy",more shelters to hallam reserve,youth,playgrounds,,,,hallam,3803,river gum,39-48,female
still country feel,less townhouses & suberbs,local-business,transport ,childcare,,,hallam,3803,river gum,68+,female
bigger car park for hallam community learning centre,more parking,,,,,,hallam,3803,river gum,59-68,perfer not to say
family friendly,roads,new,clean ,friendly,,,narre warren,3805,springfield,29-38,male
family friendly safe,the roads,safe ,friendly,clean,,,officer,3809,visitor,29-38,female
safe,roads,safe,possibilities ,opportunities,,,hampton park,3976,river gum,39-48,male
safe,casey facilitys,united ,safe,strong,,,hampton park,3976,river gum,59-68,female
alive,roads,safe ,jobs,roads,,,hampton park,3976,river gum,29-38,male
family friendly ,better roads more lands along clyde rd,parks ,family,jobs,,,berwick,3806,edrington,39-48,
great place to live & work,better infrastrucutre (roads etc) to cape with increase residents,liveable,family friendly ,attractive,,,berwick,3806,edrington,29-38,female
I'm not too worried I'll be in a perfect place,public transport,transport ,roads,clean,,,lynbrook,3975,river gum,68+,female
peaceful clean & safe,put a bypass through,peaceful ,clean ,safe,,,lynbrook,3975,river gum,49-58,male
,better infrastructure before big housing developments,caring,support,,,,cranbourne east,3977,mayfield,68+,female
family friendly,traffic conditions,trains,cinema ,good-roads,,,cranbourne east,3977,mayfield,68+,female
free of crime a model of 'community' to the rest of the state (vic),better roads…. Upgrade - sth gippsland highway,unity ,peace ,community,,,lynbrook,3975,river gum,68+,male
just a good city with no crime if possible,revert back to cranbourne council,embracing,,,,,cranbourne south ,3977,balla balla,68+,male
safe city !!!,traffic congestion 1 hr to get out of Cranb,less-traffic,,,,,cranbourne east,3977,mayfield,68+,male
a safe city a neighbourly city a green city,make cranbourne a separate city,safe,friendly ,services,,,berwick,3806,edrington,68+,male
not so much big 'through' traffic,make a ring road,safe ,peaceful ,progressive,,,cranbourne east,3977,mayfield,68+,female
,improved road network,,,,,,lynbrook,3975,river gum,49-58,female
peaceful live without fear no crime & no gumtrees in streets near houses,more police,nature, free of crime,clean,,,cranbourne east,3977,mayfield,68+,female
open friendly no crime total of casey,more police,safe ,,pleasant,,,cranbourne east,3977,mayfield,59-68,male
safe and crime free,tougher on crime increased police force on the street,safe,,,,,berwick,3806,edrington,68+,male
thriving . Family friendly and a great community,housing affordability,happy ,friendly ,developing,,,cranbourne ,3977,balla balla,19-28,female
